"I’ve always been super flat-chested and I’m still totally traumatized by something that happened in seventh grade. These two guys came up to me and asked if they could call me stingray ‘because you’re really flat.’ I’m pretty sure the name continued for the rest of that school year.",1,,
"yesterday during lunchbreak thoe girls called me witch from Adam's family. I didn't have guts to speak to my mother about this. It was horrible experience, please guide me to do something regarding this.",1,,
"Ever since first grade, my three best friends and I were a super tight clique. In the fifth grade, another girl tried to slide into the friendship. We were pretty nice to her face, but we didn’t want her to be part of the group, so we devised a strategy that summer. While I was on vacation with my family, my other three friends acted close to her and let her be the temporary fourth member. When I got back, one of my friends placed a secret three-way call with me and the girl. I would stay silent on the line, while my friend would encourage the girl to say mean things about me, and then I would reveal that I was on the phone too, and she could never be our friend now. I’m pretty sure we got the idea from Mean Girls. My friends and I got in trouble for bullying after the girl’s mom called our moms crying.",1,,
"Hi, I'm Rahul. I was bullied all through school. One bully stood out. Rakesh Kumar, he bullied me all through junior high. he would say things to me like im gonna beat you up on the last day of school, he knew some students at another high school that if Rakesh paid them enough money they would beat me up! he said that I was ignorant. Rakesh said he couldn’t wait to go to his new school so he wouldn’t have to put up with me. I asked Rakesh why are you doing this to me? Rakesh said look at me and look at you. he thought because he was bigger than me that it made ok for Rakesh to bully me. My parents and I told the school, nothing was done about it. Rakesh never laid a hand on me. Its a good thing cause if Rakesh did something to hurt me he would have been in big trouble.",1,,
"I was born with a craniofacial disease called Stickler Syndrome, which I inherited from my mother . Oddly, my mother does not know where she got our commonly shared disease from. This disease has caused me to be severely nearsighted, have bad hearing, a short nose, a slightly flat face, and has caused me to experience some slight symptoms of scoliosis at a young age . As a kid, I’ve had several consultations about having reconstructive surgery on my nose, I have had hearing aids, and I have incredibly thick glasses . This disease has also taken a huge toll on my self esteem, as I’ve been bullied, not only by kids, but by adults as well. I remember one time being at a family friends house and hearing a guest say “That’s one ugly child.” Kids also would refer to me as “four eyes” and “ugly”.",1,,
"High school and junior high were hell for me. Every day guys from adjacent classes would push me over, threaten me with knives, nails, or what ever sharp objects they had. I developed severe chronical depression and due to family problems I didn’t dare to speak at home. Some of my friends noticed that I went from a semi-loud guy to a quiet one, and instead of asking the reason they decided to spy on me to find out why did I go quiet. The bullying got harder, then comes summer, after which high school. naturally I was hoping for a fresh start but no. A bully just had to choose the same high school and immediatly started to rumour about my “skin disease that kills” I made a few new friends and I finally had enough. I told my friends what was going on, and for all I know the bully disappeared from school. If you are a bully Stop it. It isn’t gonna help you. And if you’re bullied either tell a staff member, or your friends.",1,,
"My bullying started, or when I first noticed it, when I was in around class 2. There were two boys that were two grades higher than me and always called me names like ugly and useless. That wasn’t the worst of it though. One day on the bus one of the boys decided to “play a game” by me answering random facts about him. I didn’t have a choice in the matter since I was so young. When I lost the game, he pulled out a rubber bouncy ball completely impaled with toothpicks and threw it at me. He did this a total of three times before leaving the bus. Later he was expelled because I talked to my mother about it. I still have the scars on my arm and ankle from it.",1,,
"I was in my class 8 year in a different school. I had left the previous school due to the fact that I was being constantly scrutinized and picked on by my peers and was yearning for a fresh start. This didn’t happen though when a kid from my old school moved to my new school and started to spread horrible rumors that I was watching pornography. I am a person who has an extreme phobia of sex and even talking about it makes me nervous so my parents knew immediately that this was a lie. Another thing that they teased me for was for standing by one of my friends who is transgender. Luckily they talked to the principal and things were set straight for me to finish my year in peace. I’m still waiting to see how my junior year goes in high school and if I need to write again or not.",1,,
"today at recess a group of senior guys came up to me and my friends and started talking rudely to us. It made me feel bad. Then they held my sweater tightly and pushed me to the floor. Similar thing they've done to my friends. Then they started threatening that if we complain to the teachers, principal or our parents, then consequences will be terrible. Now I'm writing in your blog to open up about my recent situation that happened. Please help me and my friends if possible. His name was Lokesh. I don't know his full name and I also don't know their other names whom were being accompanied by him.",1,,
"I was just starting Middle school, and I had the same friends as I did in the 5th grade. I thought those friend were really close and really good to me, but the more I got to know them the more I realized that they only associated with me because of my best friend who everyone loved and adored. They normally would treat me like trash when my best friend wasn’t around.",1,,
